airline_name,airline_code,airport_name,city,country,iata_code,flight_number,origin_city,destination_city,departure,arrival,base_price,total_seats,available_seats,duration_mins
FastAir,FA,Kempegowda International,Bangalore,India,BLR,FA131,Bangalore,Goa,2025-01-08 19:15:00,2025-01-08 22:15:00,4320,200,147,180
AeroExpress,AE,Kempegowda International,Bangalore,India,BLR,AE132,Bangalore,New Delhi,2024-11-29 17:30:00,2024-11-29 20:15:00,6981,170,123,165
AeroExpress,AE,Chennai International,Chennai,India,MAA,AE133,Chennai,Bangalore,2024-03-17 17:15:00,2024-03-17 19:15:00,2170,150,121,120
SkyWays,SW,Rajiv Gandhi International,Hyderabad,India,HYD,SW134,Hyderabad,Mumbai,2024-04-11 19:45:00,2024-04-11 22:30:00,6485,170,142,165
CloudJet,CJ,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,CJ135,Ahmedabad,Chennai,2024-05-02 05:30:00,2024-05-02 07:15:00,3141,150,139,105
FastAir,FA,Goa International,Goa,India,GOI,FA136,Goa,Pune,2024-01-15 12:30:00,2024-01-15 15:15:00,4984,190,137,165
FastAir,FA,Goa International,Goa,India,GOI,FA137,Goa,New Delhi,2024-05-09 11:30:00,2024-05-09 14:00:00,6440,180,179,150
CloudJet,CJ,Cochin International,Kochi,India,COK,CJ138,Kochi,Goa,2024-03-08 07:15:00,2024-03-08 10:15:00,5490,160,145,180
CloudJet,CJ,Chennai International,Chennai,India,MAA,CJ139,Chennai,Kochi,2024-09-15 13:00:00,2024-09-15 15:45:00,4795,180,149,165
AeroExpress,AE,Chhatrapati Shivaji International,Mumbai,India,BOM,AE140,Mumbai,Chennai,2024-09-07 14:15:00,2024-09-07 17:15:00,4232,150,93,180
SkyWays,SW,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,SW141,Ahmedabad,Goa,2024-02-19 13:15:00,2024-02-19 14:45:00,2764,160,125,90
AeroExpress,AE,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,AE142,Ahmedabad,Chennai,2024-10-15 19:15:00,2024-10-15 20:30:00,6346,180,145,75
AeroExpress,AE,Chhatrapati Shivaji International,Mumbai,India,BOM,AE143,Mumbai,Pune,2024-04-17 15:00:00,2024-04-17 17:00:00,2659,180,137,120
CloudJet,CJ,Cochin International,Kochi,India,COK,CJ144,Kochi,Chennai,2024-12-27 18:15:00,2024-12-27 19:45:00,5383,150,124,90
TransIndia,TI,Kempegowda International,Bangalore,India,BLR,TI145,Bangalore,New Delhi,2025-01-09 16:45:00,2025-01-09 18:45:00,5059,160,107,120
CloudJet,CJ,Cochin International,Kochi,India,COK,CJ146,Kochi,Kolkata,2024-09-04 11:30:00,2024-09-04 12:45:00,5043,190,168,75
SkyWays,SW,Kempegowda International,Bangalore,India,BLR,SW147,Bangalore,Ahmedabad,2024-07-29 15:15:00,2024-07-29 16:30:00,4123,200,189,75
SkyWays,SW,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,SW148,Ahmedabad,Hyderabad,2024-02-15 12:30:00,2024-02-15 15:15:00,4295,160,149,165
CloudJet,CJ,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,CJ149,Kolkata,Pune,2024-10-30 08:30:00,2024-10-30 10:45:00,6596,200,172,135
SkyWays,SW,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,SW150,Ahmedabad,Pune,2024-03-09 09:15:00,2024-03-09 11:30:00,6045,170,154,135
AeroExpress,AE,Cochin International,Kochi,India,COK,AE151,Kochi,Pune,2024-10-10 07:00:00,2024-10-10 09:30:00,5990,200,174,150
CloudJet,CJ,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,CJ152,Ahmedabad,Chennai,2024-01-11 05:45:00,2024-01-11 08:15:00,3528,200,164,150
CloudJet,CJ,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,CJ153,Kolkata,Bangalore,2024-08-12 14:30:00,2024-08-12 16:45:00,6547,150,108,135
AeroExpress,AE,Kempegowda International,Bangalore,India,BLR,AE154,Bangalore,Mumbai,2024-05-05 20:00:00,2024-05-05 22:30:00,3547,170,134,150
CloudJet,CJ,Cochin International,Kochi,India,COK,CJ155,Kochi,Pune,2024-10-14 11:15:00,2024-10-14 12:30:00,6906,190,141,75
TransIndia,TI,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,TI156,Kolkata,New Delhi,2024-01-16 09:45:00,2024-01-16 12:45:00,2800,200,140,180
FastAir,FA,Rajiv Gandhi International,Hyderabad,India,HYD,FA157,Hyderabad,Goa,2024-04-16 08:15:00,2024-04-16 09:45:00,4465,200,197,90
FastAir,FA,Chhatrapati Shivaji International,Mumbai,India,BOM,FA158,Mumbai,Hyderabad,2024-10-31 11:45:00,2024-10-31 14:45:00,6307,200,177,180
SkyWays,SW,Chhatrapati Shivaji International,Mumbai,India,BOM,SW159,Mumbai,Bangalore,2024-04-03 20:30:00,2024-04-03 21:30:00,3961,160,130,60
FastAir,FA,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,FA160,Ahmedabad,New Delhi,2025-01-31 08:15:00,2025-01-31 10:45:00,2789,190,144,150
AeroExpress,AE,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,AE161,Kolkata,Mumbai,2024-11-08 20:15:00,2024-11-08 22:00:00,4592,150,112,105
SkyWays,SW,Pune International,Pune,India,PUN,SW162,Pune,Mumbai,2025-01-16 07:45:00,2025-01-16 10:15:00,7000,150,139,150
FastAir,FA,Goa International,Goa,India,GOI,FA163,Goa,Hyderabad,2024-09-22 14:00:00,2024-09-22 15:00:00,3386,200,141,60
FastAir,FA,Pune International,Pune,India,PUN,FA164,Pune,Goa,2024-02-29 05:30:00,2024-02-29 06:45:00,2763,180,133,75
AeroExpress,AE,Cochin International,Kochi,India,COK,AE165,Kochi,Mumbai,2024-11-09 15:30:00,2024-11-09 17:30:00,4313,180,132,120
CloudJet,CJ,Kempegowda International,Bangalore,India,BLR,CJ166,Bangalore,Mumbai,2024-11-07 11:00:00,2024-11-07 12:00:00,6029,180,120,60
SkyWays,SW,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,SW167,Kolkata,Chennai,2024-09-01 09:15:00,2024-09-01 11:00:00,2844,160,113,105
TransIndia,TI,Pune International,Pune,India,PUN,TI168,Pune,Hyderabad,2024-05-28 09:30:00,2024-05-28 10:45:00,6403,180,170,75
CloudJet,CJ,Chennai International,Chennai,India,MAA,CJ169,Chennai,Mumbai,2025-01-26 05:30:00,2025-01-26 07:00:00,3458,170,142,90
FastAir,FA,Chennai International,Chennai,India,MAA,FA170,Chennai,Ahmedabad,2024-07-11 17:30:00,2024-07-11 19:45:00,2743,160,104,135
TransIndia,TI,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,TI171,Ahmedabad,New Delhi,2024-12-22 08:30:00,2024-12-22 10:15:00,3923,200,168,105
TransIndia,TI,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,TI172,Ahmedabad,Kolkata,2024-12-20 10:45:00,2024-12-20 12:45:00,3967,180,141,120
FastAir,FA,Kempegowda International,Bangalore,India,BLR,FA173,Bangalore,Ahmedabad,2024-01-23 20:45:00,2024-01-23 22:00:00,3697,160,160,75
CloudJet,CJ,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,CJ174,Kolkata,Chennai,2024-12-25 11:30:00,2024-12-25 13:45:00,2904,160,134,135
TransIndia,TI,Goa International,Goa,India,GOI,TI175,Goa,Chennai,2024-11-10 16:00:00,2024-11-10 17:30:00,4880,180,173,90
SkyWays,SW,Rajiv Gandhi International,Hyderabad,India,HYD,SW176,Hyderabad,New Delhi,2024-03-30 11:15:00,2024-03-30 13:30:00,6087,150,123,135
FastAir,FA,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,FA177,Kolkata,Goa,2024-11-29 19:45:00,2024-11-29 21:00:00,2055,170,114,75
TransIndia,TI,Rajiv Gandhi International,Hyderabad,India,HYD,TI178,Hyderabad,Pune,2024-07-08 08:30:00,2024-07-08 10:45:00,6025,150,102,135
FastAir,FA,Chhatrapati Shivaji International,Mumbai,India,BOM,FA179,Mumbai,Kochi,2024-05-03 17:15:00,2024-05-03 18:30:00,3517,180,177,75
TransIndia,TI,Indira Gandhi International,New Delhi,India,DEL,TI180,New Delhi,Kochi,2024-09-13 05:45:00,2024-09-13 07:45:00,5083,160,150,120
AeroExpress,AE,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,AE181,Ahmedabad,Goa,2024-06-28 11:45:00,2024-06-28 12:45:00,3061,150,113,60
CloudJet,CJ,Indira Gandhi International,New Delhi,India,DEL,CJ182,New Delhi,Bangalore,2024-01-04 15:15:00,2024-01-04 17:45:00,3792,190,184,150
SkyWays,SW,Pune International,Pune,India,PUN,SW183,Pune,Kolkata,2024-04-23 16:30:00,2024-04-23 19:30:00,3235,160,107,180
AeroExpress,AE,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,AE184,Kolkata,Kochi,2024-10-09 06:15:00,2024-10-09 08:30:00,2303,200,151,135
SkyWays,SW,Rajiv Gandhi International,Hyderabad,India,HYD,SW185,Hyderabad,Bangalore,2024-10-07 20:30:00,2024-10-07 22:15:00,6438,150,148,105
SkyWays,SW,Goa International,Goa,India,GOI,SW186,Goa,Ahmedabad,2024-05-27 08:30:00,2024-05-27 09:30:00,4976,200,178,60
SkyWays,SW,Cochin International,Kochi,India,COK,SW187,Kochi,Bangalore,2024-07-21 09:15:00,2024-07-21 10:15:00,4789,170,154,60
SkyWays,SW,Chhatrapati Shivaji International,Mumbai,India,BOM,SW188,Mumbai,Kochi,2024-04-01 08:15:00,2024-04-01 10:00:00,6106,200,155,105
AeroExpress,AE,Chhatrapati Shivaji International,Mumbai,India,BOM,AE189,Mumbai,Bangalore,2024-05-19 15:15:00,2024-05-19 18:00:00,2042,170,113,165
TransIndia,TI,Goa International,Goa,India,GOI,TI190,Goa,Hyderabad,2024-08-04 20:00:00,2024-08-04 23:00:00,6069,150,140,180
AeroExpress,AE,Kempegowda International,Bangalore,India,BLR,AE191,Bangalore,Goa,2024-06-10 16:30:00,2024-06-10 19:30:00,3565,150,131,180
AeroExpress,AE,Goa International,Goa,India,GOI,AE192,Goa,Kochi,2024-12-27 15:00:00,2024-12-27 16:00:00,3963,200,170,60
TransIndia,TI,Pune International,Pune,India,PUN,TI193,Pune,New Delhi,2025-01-23 07:00:00,2025-01-23 09:00:00,6634,190,143,120
FastAir,FA,Indira Gandhi International,New Delhi,India,DEL,FA194,New Delhi,Goa,2024-11-09 07:15:00,2024-11-09 08:45:00,6377,180,171,90
FastAir,FA,Pune International,Pune,India,PUN,FA195,Pune,Kolkata,2024-11-03 18:30:00,2024-11-03 20:45:00,6642,150,91,135
AeroExpress,AE,Kempegowda International,Bangalore,India,BLR,AE196,Bangalore,Hyderabad,2024-07-15 13:30:00,2024-07-15 15:30:00,5630,200,168,120
FastAir,FA,Chennai International,Chennai,India,MAA,FA197,Chennai,Goa,2024-03-17 14:30:00,2024-03-17 17:30:00,5940,160,110,180
AeroExpress,AE,Pune International,Pune,India,PUN,AE198,Pune,Ahmedabad,2024-11-30 07:45:00,2024-11-30 09:30:00,6483,180,138,105
SkyWays,SW,Chhatrapati Shivaji International,Mumbai,India,BOM,SW199,Mumbai,Ahmedabad,2024-12-05 20:15:00,2024-12-05 23:15:00,4667,180,150,180
AeroExpress,AE,Indira Gandhi International,New Delhi,India,DEL,AE200,New Delhi,Ahmedabad,2024-03-27 11:30:00,2024-03-27 13:00:00,2780,160,123,90
FastAir,FA,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,FA201,Kolkata,Hyderabad,2024-01-14 08:30:00,2024-01-14 10:45:00,3767,150,102,135
AeroExpress,AE,Rajiv Gandhi International,Hyderabad,India,HYD,AE202,Hyderabad,Chennai,2024-09-05 16:00:00,2024-09-05 19:00:00,3619,190,163,180
CloudJet,CJ,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,CJ203,Ahmedabad,Hyderabad,2024-10-08 09:00:00,2024-10-08 11:00:00,3937,160,115,120
SkyWays,SW,Kempegowda International,Bangalore,India,BLR,SW204,Bangalore,Kochi,2024-05-14 09:15:00,2024-05-14 11:15:00,5044,200,176,120
SkyWays,SW,Chennai International,Chennai,India,MAA,SW205,Chennai,Bangalore,2024-11-19 12:30:00,2024-11-19 15:15:00,2086,150,129,165
TransIndia,TI,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,TI206,Ahmedabad,Kolkata,2024-01-04 20:30:00,2024-01-04 22:45:00,2918,160,106,135
SkyWays,SW,Indira Gandhi International,New Delhi,India,DEL,SW207,New Delhi,Goa,2024-12-25 20:30:00,2024-12-25 22:30:00,2471,150,93,120
TransIndia,TI,Chennai International,Chennai,India,MAA,TI208,Chennai,Kolkata,2024-05-17 07:15:00,2024-05-17 08:45:00,5876,170,145,90
SkyWays,SW,Chhatrapati Shivaji International,Mumbai,India,BOM,SW209,Mumbai,Ahmedabad,2024-04-09 20:00:00,2024-04-09 22:00:00,6165,200,154,120
FastAir,FA,Cochin International,Kochi,India,COK,FA210,Kochi,Chennai,2024-12-04 16:15:00,2024-12-04 18:30:00,6233,190,134,135
SkyWays,SW,Kempegowda International,Bangalore,India,BLR,SW211,Bangalore,Goa,2024-08-14 15:45:00,2024-08-14 18:00:00,4290,170,157,135
AeroExpress,AE,Indira Gandhi International,New Delhi,India,DEL,AE212,New Delhi,Goa,2024-10-06 12:15:00,2024-10-06 15:15:00,6009,170,140,180
SkyWays,SW,Goa International,Goa,India,GOI,SW213,Goa,Bangalore,2024-05-27 07:15:00,2024-05-27 08:45:00,5675,160,135,90
SkyWays,SW,Cochin International,Kochi,India,COK,SW214,Kochi,New Delhi,2024-11-08 15:00:00,2024-11-08 18:00:00,2803,180,144,180
AeroExpress,AE,Indira Gandhi International,New Delhi,India,DEL,AE215,New Delhi,Bangalore,2024-08-11 07:00:00,2024-08-11 09:15:00,3951,200,157,135
TransIndia,TI,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,TI216,Kolkata,Chennai,2024-07-27 16:30:00,2024-07-27 18:45:00,4992,190,130,135
CloudJet,CJ,Chhatrapati Shivaji International,Mumbai,India,BOM,CJ217,Mumbai,Bangalore,2024-12-18 13:15:00,2024-12-18 14:45:00,4647,160,150,90
SkyWays,SW,Rajiv Gandhi International,Hyderabad,India,HYD,SW218,Hyderabad,Chennai,2024-10-17 19:00:00,2024-10-17 21:15:00,6949,170,130,135
TransIndia,TI,Chhatrapati Shivaji International,Mumbai,India,BOM,TI219,Mumbai,Pune,2024-05-10 06:45:00,2024-05-10 08:00:00,6479,150,109,75
AeroExpress,AE,Rajiv Gandhi International,Hyderabad,India,HYD,AE220,Hyderabad,Chennai,2024-01-11 06:00:00,2024-01-11 07:30:00,6449,170,131,90
CloudJet,CJ,Chennai International,Chennai,India,MAA,CJ221,Chennai,Mumbai,2024-07-02 11:30:00,2024-07-02 13:00:00,5766,180,178,90
AeroExpress,AE,Indira Gandhi International,New Delhi,India,DEL,AE222,New Delhi,Goa,2024-09-08 17:00:00,2024-09-08 20:00:00,5921,180,165,180
CloudJet,CJ,Chennai International,Chennai,India,MAA,CJ223,Chennai,Bangalore,2024-05-28 14:45:00,2024-05-28 17:00:00,5397,150,115,135
AeroExpress,AE,Goa International,Goa,India,GOI,AE224,Goa,Pune,2024-01-14 07:45:00,2024-01-14 10:15:00,4215,150,105,150
FastAir,FA,Cochin International,Kochi,India,COK,FA225,Kochi,Mumbai,2024-06-08 15:45:00,2024-06-08 17:45:00,2216,170,144,120
TransIndia,TI,Rajiv Gandhi International,Hyderabad,India,HYD,TI226,Hyderabad,Kolkata,2025-01-21 07:15:00,2025-01-21 10:00:00,4548,160,127,165
SkyWays,SW,Pune International,Pune,India,PUN,SW227,Pune,Hyderabad,2024-12-22 07:15:00,2024-12-22 08:45:00,5845,200,141,90
FastAir,FA,Cochin International,Kochi,India,COK,FA228,Kochi,Goa,2024-10-03 19:15:00,2024-10-03 20:30:00,4166,180,167,75
CloudJet,CJ,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,CJ229,Kolkata,Hyderabad,2024-09-24 08:30:00,2024-09-24 09:45:00,3936,160,112,75
FastAir,FA,Goa International,Goa,India,GOI,FA230,Goa,New Delhi,2025-01-25 10:00:00,2025-01-25 13:00:00,2838,150,116,180
FastAir,FA,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,FA231,Ahmedabad,Chennai,2025-01-01 11:45:00,2025-01-01 14:15:00,3136,200,178,150
TransIndia,TI,Goa International,Goa,India,GOI,TI232,Goa,Mumbai,2024-05-31 09:00:00,2024-05-31 11:15:00,4672,180,146,135
FastAir,FA,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,FA233,Kolkata,Mumbai,2024-09-26 08:45:00,2024-09-26 10:30:00,6398,150,116,105
AeroExpress,AE,Chhatrapati Shivaji International,Mumbai,India,BOM,AE234,Mumbai,Ahmedabad,2024-12-08 13:45:00,2024-12-08 16:30:00,5533,180,132,165
TransIndia,TI,Rajiv Gandhi International,Hyderabad,India,HYD,TI235,Hyderabad,Chennai,2024-11-05 08:00:00,2024-11-05 09:00:00,4895,190,130,60
TransIndia,TI,Chennai International,Chennai,India,MAA,TI236,Chennai,Pune,2024-06-23 12:15:00,2024-06-23 15:15:00,6380,180,170,180
SkyWays,SW,Chennai International,Chennai,India,MAA,SW237,Chennai,Kochi,2024-04-19 12:15:00,2024-04-19 14:45:00,4339,170,141,150
TransIndia,TI,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,TI238,Kolkata,Hyderabad,2024-12-03 14:45:00,2024-12-03 15:45:00,6770,150,135,60
CloudJet,CJ,Cochin International,Kochi,India,COK,CJ239,Kochi,Pune,2024-02-03 09:30:00,2024-02-03 10:45:00,4617,150,105,75
SkyWays,SW,Pune International,Pune,India,PUN,SW240,Pune,Kolkata,2024-11-10 11:30:00,2024-11-10 14:00:00,2461,200,144,150
AeroExpress,AE,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,AE241,Kolkata,Ahmedabad,2024-01-25 14:30:00,2024-01-25 16:00:00,5630,180,127,90
AeroExpress,AE,Chennai International,Chennai,India,MAA,AE242,Chennai,Bangalore,2024-01-26 11:45:00,2024-01-26 14:30:00,2703,190,181,165
TransIndia,TI,Kempegowda International,Bangalore,India,BLR,TI243,Bangalore,Hyderabad,2024-11-03 08:00:00,2024-11-03 10:30:00,3739,180,171,150
CloudJet,CJ,Goa International,Goa,India,GOI,CJ244,Goa,Chennai,2024-10-21 07:15:00,2024-10-21 09:30:00,3883,200,163,135
TransIndia,TI,Chennai International,Chennai,India,MAA,TI245,Chennai,Pune,2024-02-02 19:15:00,2024-02-02 21:15:00,4741,170,137,120
SkyWays,SW,Rajiv Gandhi International,Hyderabad,India,HYD,SW246,Hyderabad,Bangalore,2024-04-30 11:00:00,2024-04-30 12:45:00,2042,180,156,105
SkyWays,SW,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,SW247,Kolkata,Pune,2025-01-09 18:30:00,2025-01-09 20:45:00,2597,180,171,135
CloudJet,CJ,Indira Gandhi International,New Delhi,India,DEL,CJ248,New Delhi,Chennai,2024-03-01 12:00:00,2024-03-01 14:30:00,2400,200,155,150
AeroExpress,AE,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,AE249,Ahmedabad,Kochi,2024-08-22 16:00:00,2024-08-22 17:15:00,2757,150,127,75
FastAir,FA,Chennai International,Chennai,India,MAA,FA250,Chennai,Kolkata,2024-09-13 20:30:00,2024-09-13 23:30:00,6392,150,122,180
TransIndia,TI,Sardar Vallabhbhai Patel International,Ahmedabad,India,AMD,TI251,Ahmedabad,Kochi,2024-12-20 18:15:00,2024-12-20 20:45:00,2906,200,180,150
AeroExpress,AE,Pune International,Pune,India,PUN,AE252,Pune,Kochi,2024-12-25 17:15:00,2024-12-25 19:45:00,6073,170,136,150
FastAir,FA,Goa International,Goa,India,GOI,FA253,Goa,Kochi,2024-05-09 15:00:00,2024-05-09 17:00:00,4012,190,142,120
SkyWays,SW,Kempegowda International,Bangalore,India,BLR,SW254,Bangalore,Ahmedabad,2025-01-19 19:45:00,2025-01-19 22:15:00,6048,160,145,150
TransIndia,TI,Chhatrapati Shivaji International,Mumbai,India,BOM,TI255,Mumbai,Hyderabad,2024-02-04 07:15:00,2024-02-04 09:30:00,5803,180,135,135
TransIndia,TI,Chhatrapati Shivaji International,Mumbai,India,BOM,TI256,Mumbai,New Delhi,2024-06-18 20:45:00,2024-06-18 23:00:00,4136,160,129,135
SkyWays,SW,Chhatrapati Shivaji International,Mumbai,India,BOM,SW257,Mumbai,Bangalore,2025-01-31 06:45:00,2025-01-31 09:15:00,3880,180,157,150
SkyWays,SW,Rajiv Gandhi International,Hyderabad,India,HYD,SW258,Hyderabad,Ahmedabad,2024-06-24 16:15:00,2024-06-24 19:00:00,5082,150,131,165
TransIndia,TI,Chennai International,Chennai,India,MAA,TI259,Chennai,Kochi,2024-01-25 14:00:00,2024-01-25 15:30:00,6140,160,160,90
TransIndia,TI,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,TI260,Kolkata,Chennai,2024-05-13 18:30:00,2024-05-13 21:30:00,5083,180,174,180
CloudJet,CJ,Chennai International,Chennai,India,MAA,CJ261,Chennai,Ahmedabad,2025-01-17 17:30:00,2025-01-17 19:30:00,4721,180,145,120
AeroExpress,AE,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,AE262,Kolkata,Hyderabad,2024-06-24 05:15:00,2024-06-24 07:45:00,4356,160,145,150
SkyWays,SW,Cochin International,Kochi,India,COK,SW263,Kochi,Mumbai,2024-06-29 18:15:00,2024-06-29 20:15:00,6696,190,156,120
FastAir,FA,Cochin International,Kochi,India,COK,FA264,Kochi,Ahmedabad,2024-07-07 06:45:00,2024-07-07 09:00:00,4708,170,119,135
TransIndia,TI,Chhatrapati Shivaji International,Mumbai,India,BOM,TI265,Mumbai,Chennai,2024-09-01 15:45:00,2024-09-01 17:15:00,5149,180,156,90
FastAir,FA,Chhatrapati Shivaji International,Mumbai,India,BOM,FA266,Mumbai,Pune,2024-10-11 18:45:00,2024-10-11 21:30:00,5422,170,110,165
FastAir,FA,Kempegowda International,Bangalore,India,BLR,FA267,Bangalore,Goa,2024-06-10 20:00:00,2024-06-10 21:45:00,5089,180,155,105
AeroExpress,AE,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,AE268,Kolkata,Bangalore,2025-01-21 05:15:00,2025-01-21 07:15:00,6566,160,149,120
SkyWays,SW,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,SW269,Kolkata,Hyderabad,2024-01-20 05:45:00,2024-01-20 08:45:00,5280,190,161,180
